1,Equator Coffees & Teas,986 Market St,37.78239443,-122.4099734
2,Snowbird Coffee,1352A 9th Ave,37.76309351,-122.4662316
3,Wrecking Ball Coffee Roasters,2271 Union St,37.79681404,-122.4367046
4,Andytown,3655 Lawton St,37.75663526,-122.5022578
5,Blue Bottle Coffee,315 Linden St,37.776407,-122.4232507
6,Ritual Coffee Roasters,1300 Haight St,37.77053793,-122.4438514
7,La Capra Coffee,50 Fremont St,37.7907081,-122.3975388
8,Ritual Coffee Roasters,1026 Valencia St,37.756501,-122.421146
9,Saint Frank,2340 Polk St,37.79844606,-122.422213
10,Blue Bottle Coffee,1 Ferry Building Ste 7,37.79590476,-122.3939376
11,Sightglass Coffee,270 7th St,37.7770249,-122.4085298
12,Flywheel Coffee,672 Stanyan St,37.76957398,-122.4533613
13,Blue Bottle Coffee,66 Mint Plaza,37.78246396,-122.4078226
14,Wildcraft Espresso Bar,2299 Market St,37.76412647,-122.4330687
15,Réveille Coffee Co.,200 Columbus Ave,37.7972125,-122.4054998
16,Red Door Coffee,111 Minna St,37.78746243,-122.3993334
17,Réveille Coffee Co.,4076 18th St,37.76098726,-122.4344677
18,Caffe Trieste,601 Vallejo St,37.79868271,-122.4072244
19,Blue Bottle Coffee,115 Sansome St,37.79132022,-122.400983
20,Mazarine Coffee,720 Market St,37.78737621,-122.4038172
21,Cafe St. Jorge,3438 Mission St,37.7416872,-122.422578
22,Jane,2123 Fillmore St,37.78930232,-122.4339795
23,Stable Cafe,2128 Folsom St,37.76317492,-122.4152577
24,Ritual Coffee Roasters,432B Octavia St,37.77649268,-122.4242316
25,Sightglass Coffee,3014 20th St,37.759122,-122.411312
26,Blue Bottle Coffee,1355 Market St Ste 190,37.77625554,-122.4169092
27,Bob's Donut & Pastry Shop,1621 Polk St,37.79190214,-122.4209299
28,Four Barrel Coffee,375 Valencia St,37.76702439,-122.4219586
29,Philz Coffee,399 Golden Gate Ave,37.78137434,-122.417044
30,Dynamo Donut & Coffee,2760 24th St,37.75294067,-122.4076504
31,Jane,925 Larkin St,37.786475,-122.418342
32,Philz Coffee,300 Folsom St,37.78867984,-122.3928865
33,Blue Bottle Coffee,2 South Park,37.782484,-122.393163
34,Philz Coffee,549 Castro St,37.76020378,-122.4349157
36,Wicked Grounds,289 8th St,37.77521791,-122.4102259
37,Hollow,1435 Irving St,37.76374693,-122.473429
38,Papa November,201 Kansas St,37.76722056,-122.4036169
39,Coffee Cultures,1301 Mission St,37.77612762,-122.4146526
41,Blue Bottle Coffee Kiosk,Ferry Building,37.79482224,-122.3939763
43,Red Blossom Tea Company,831 Grant Ave,37.79473059,-122.4065432
44,Cento,372 Ritch St,37.77878809,-122.3938712
45,Pinhole Coffee,231 Cortland Ave,37.73955564,-122.4190717
46,Four Barrel Coffee,2 Burrows St.,37.72890953,-122.4038529
49,Réveille Coffee Co.,610 Long Bridge St,37.77334799,-122.3914537
52,Philz Coffee,1258 Minnesota St,37.75439174,-122.3899545
53,The Richfield,195 5th Ave,37.784967,-122.46362
55,Trouble Coffee,4033 Judah St,37.76033351,-122.5053692
56,Chapel Hill Coffee Co.,670 Commercial St,37.79409604,-122.404232

